,user,track,count
116,0ef42a19efb74d0a05c308d00636c8d8d41bec0c,TRBHLDQ128F423EF10,2
139,537340ff896dea11328910013cfe759413e1eeb3,TRARUTP128E0797FC7,1
166,999902c7302ca251b23f5c0d643debce084076d3,TRBGQAB128E07877E4,1
222,2d4df82baf7a0c2f39706a40c25f96fa0c61ef19,TRAAKDG128F42A0ECB,2
230,e6fbcdd689ac0e85992536933f1f86503310447f,TRADKAX128E0786B92,1
374,c0b20c353055f4e82f098a41f5ce268007379b47,TRAVGFX128F14ADFED,1
410,73c3ca3eb795705018c5bded9cd6a5559cf62933,TRASDOI128F1480E28,1
486,1986f5657d2e87dff2c09be1eb705fed1866b399,TRAGSGF128E0780CA7,1
488,1d0e2d525b7f35e333288e3d0095286baca23cd3,TRAURYF128F147805D,2
536,40e30471ffecfd7b5731df8ad4ed4b7c62fb3b42,TRADJJZ128F9341B40,1
538,3ae4bbc2b3f93e4d789f46a1a0d9c30a33063340,TRAQVTO128F14696A6,1
620,41ef7daf3d368922c9676d3f90c8fe931cac1d35,TRAAMES128F42AF068,1
847,1d8a06c0e7fac52920e6b0ba160d781d10756676,TRAAKDG128F42A0ECB,1
958,556d6850f1fc958b8e5dfb8fc5931f1fb2363c1a,TRAWLYS12903CCFEFC,1
961,0fa40519d4e6f85c9eaddcdf107e8f6d431942b5,TRALEPN128F9311179,115
1001,3d67e22c827c8822d4cea05c18f41ddf952192d8,TRBEKGR128F425DA44,1
1205,c73b4a34bf8de8b70d2befef6d13886f11f1485f,TRAKLHO128F42BA554,1
1273,dc1bb32ac24d1d2d46e608755c7ec3c9222b1b5c,TRAYUXO12903C99CBF,1
1341,b7880b6ef841d3033888e737bc85ff4ddab3e82a,TRBBJVD128E07826F3,5
1400,2092dc43e144c8bc70720ccbb4306ab8d371a4ac,TRABYVN128F429E5CF,1
1472,da681f423e8574d2581534fd138eae264dea0f5c,TRBIJFB128F92ED124,7
1503,8ed77f2c5fa5d3d86aa92a98556cd409361b9c89,TRAOAYQ12903CFE05C,3
1509,cd95a26ac0baa51b6c07301809c134c56a3d69d5,TRAMKDJ128F92F3D8B,1
1600,6539bef677635402f32bd25d0ac46dfddc90a509,TRADESF128F4214D8E,1
1651,0412de0dad711b155709796cba2d90c50a5b333a,TRAGSGF128E0780CA7,2
1653,8ba2bd0e3d9a958ead0d38c73f5268a4a7535ccd,TRAWRKT128E0788857,1
1667,0f93cabd5a2b0cedd8fb21a9b5d58e673a5371c7,TRAZDPO128E078ECE6,3
1791,9de6ab4421261c74c62cdc15a0fa6520db08ed8a,TRALMTD128E07862AC,1
1846,af896b412e7d5e6e2e65a5cc7c33075f21d18e64,TRAUEVU128F42B7B0A,2
1932,4e5dc51d5f4fef5bb9a9a636cbe96327b043747a,TRAWRKT128E0788857,3
2008,5b178bf8aec462d677686b5e78f3cfddc5c3c82b,TRAUJKJ128E078FA48,2
2106,2e50df40d464b1d86a6777c830a1df92175f06e1,TRAPTOE128F4272000,1
2121,c6417e0a3b46b85c7ae89d3bd4bd21c170cf1f8d,TRAUJTZ12903CF7BB4,9
2288,4593fedf555ab586946f413fafd4003541f24d09,TRBEDVH128F14599C7,2
2327,92f7c2e7ee43ba94596d7ba659347b00cbb1519a,TRAFHRS128F14599C0,3
2560,13ce57b3a25ef63fa614335fd838e8024c42ec17,TRAAFJW128F428A424,5
2724,5ac8d54957fb91d5c4d30e6c8cd66905143a9c5f,TRAEGGV128F92F29B2,2
2881,a63378573bfd84f127a280832ad819a6c922bf73,TRAJOPN128F423BEC3,1
2957,12a8357d1b5bace933ec34350cea073f0d5c8322,TRAAQCK128F92E8C33,1
3047,59e7bdc653209faa99a81c40550bb430de1c9012,TRBHJPQ128E078ED8F,1
3198,52843949671b246e56ec8842cadb599e32d998ba,TRARUTP128E0797FC7,2
3293,0bebf25b0d11c78452a96ca16a7a74ca216ed530,TRABQZK128F92F54F4,1
3350,ec3ac43f0f73b86720a420b294ac725a1d6e5632,TRBIFGK128F92F23A2,1
3383,e3b2f4c2b4746079162f760288d29c7718d6ff7a,TRBDOVF128E0795641,3
3414,f5048948aea5fd6aae43d6ae5271f8443621e877,TRARPCK128F92FEA7F,5
3462,26a456d4c8de2376f69a87e6adb581e5a948479a,TRABVIZ128F42BA066,2
3494,c9a0bf4cb160acfdfc102b38f4f1aafc6ccb3b1a,TRAADQX128F422B4CF,3
3686,48ae7016859ebb822056f28da9a88ee9ab8fd6e2,TRARUTP128E0797FC7,1
3694,d9875db917bf619aa873f14979d69e86d48483cf,TRBBUPS12903CFC938,9
3774,10d7ead074fa14d63e148367c8a4fc2e7425b963,TRAWBHE12903CBC4CB,1
3825,47cc72fb1da976715fc91f840030bf64c6873ff0,TRBGYDZ12903D075D4,1
4062,2f51fc6d06e37ae6539c7960b617b8f0bc004258,TRARMHA128F92E7D32,1
4097,a31b283db0ce108902877cbde911ca1c5120f74b,TRBHKXX128F4252D02,23
4177,cbf1c037a71ea3ab8d9cc2145948e1e2bcbce482,TRAWBHE12903CBC4CB,3
4215,4fae562dc775ad90b325509d34fc7fc7ddeacc29,TRAURYF128F147805D,5
4460,afd9cdde1397cc00285d803a5970c54ceae14a82,TRAURYF128F147805D,1
4515,97a503d1492f4319039439182f6840771cf0eb98,TRBGCAK128F425F3CC,1
4748,4e44d672edc573874b99389e33d35cadc3e09c72,TRADYQK128F42A762A,1
4835,04935d7e3f0be93ac79e3d9c088aa1a0af6d9d80,TRAVPOV128F429EC1B,1
4897,1829a0377eba27895794a90e1f63d61f61159252,TRALZBV128F4250E60,1
5025,272b1120aeb20341a57ee89a09b2007209d81477,TRAZCWP12903CB5764,3
5027,028f39ee932e9d870793b4a59abda4f1fd68de41,TRASVOH12903CCDC0B,1
5064,f5014f6192fd31da32644453e2edf5457274a40b,TRAHYMJ128E0787801,1
5089,a0c62da83c31c8806c75263d46073e62a3c3b19b,TRAOAYQ12903CFE05C,3
5094,23cf95a3a572c81efaba4b16ee967edeaa0afbbb,TRAUOPE128EF367610,4
5098,1db6b9391d58621515348baf2c6defe5d03141e0,TRBASRX12903C9FDA8,2
5198,d805b8eef3d8fcb90379cd523da90b157066047d,TRAJHCO128F42570C1,1
5213,ce73456437060bc0097b7deb6a13609a1e62488b,TRAAKDG128F42A0ECB,11
5256,c1fcae0113ba2be1ea35f9911f009086cf1360e9,TRBDMIN128F147FCBB,3
5396,7582a08a7d1b375dafc2975037ee5cbab375a663,TRASVOH12903CCDC0B,2
5446,7e59e82ca6a4fd8ee8e311a8f704564f0c3e3192,TRAVFEW128F92E2B47,1
5660,aaedd8f767748cb2fa175f87858c5c5c859bbfe1,TRAURYF128F147805D,1
5802,a4b9f87719e7d02b40d97886881ba9e921799b78,TRAURYF128F147805D,1
5914,c85f0007b0565f8acdcd730d17ea3afb30bc34b8,TRARUTP128E0797FC7,3
5974,fa9fb2bc30b6b5780d925a8bf709eca8d39f66a1,TRAMIGP128F9335408,1
6022,c8155352c0e463f3758c9076f2baa32eab8c3d25,TRAURYF128F147805D,2
6034,6f52acd9dd7f500c255a16bf3d6cfe91ba628e14,TRAETTV12903CBBD09,1
6143,0866a6b7a35b6702035fd2a611b61febf7a4afb2,TRAUMIT128F424DA18,2
6234,d97dc56c140b514db1be574faed55eecc0a2d59b,TRAIYDL128E0791583,1
6301,b2469a03793f238bfb0b8c06d5b9d74fa2668081,TRABCUQ128E0783E2B,3
6424,0dab33381f8b4b6da09a946f7c240ff69d71a5fc,TRBHKXX128F4252D02,5
6524,3805ae8a5a5f638cd5466a511e34164af432a1b4,TRAWRKT128E0788857,2
6907,94ce470c82be5e55f9ba575523e95274c15dbdda,TRAMGPM128F9311196,1
6952,09da9b7207131eed4387e10063464143ed42890a,TRAWBHE12903CBC4CB,1
6956,cd430a020de25dd84a9e0eb24e0e2a5ca6bc61b4,TRAUAQR128F9349BE2,1
6978,b64868361466f0fc84048dff1cc71b9db5755fad,TRAWDOU128F146D770,1
6988,052ccec7e66d86d1fcf60f536f5ae8fb6d2eb6bb,TRALMTD128E07862AC,1
7051,3369f4ac8fe172d1e57a174aaf45613cf8f25323,TRALDUE128F9312AF2,2
7108,253ef2e39cce58834eb20274571cbbe0113a0f6a,TRAAFYL128E07856A7,1
7115,bcfd40f88ba76a3eb0ec373177b9766a51a3502e,TRAOAYQ12903CFE05C,1
7148,9a6ce7faaa7518e4009e940a7dce9718c4c1cd90,TRAFHRS128F14599C0,16
7341,573fe809cd57a1ec259ce9583bf7ad789f19a459,TRABUSZ128F4257BAB,1
7450,d99c673b44832ff052ac470a15623a2c8532423a,TRBHVJH12903CE8978,1
7698,06b5b819c25146c3e2922343037111c8d5dcf7ff,TRAWBHE12903CBC4CB,1
7920,6b0496882aa01ef264c1875f36312aca638b4118,TRAESJK128E0792227,1
8053,0a839b402d05c2c418d47ebcaf1e6d26e514dfe6,TRBGCAK128F425F3CC,1
8113,bac559ba85b95bad5dfe9bb381a794714aae1ef4,TRABJZT128F425C8DC,1
8234,39990cd7343a1b35e6afeaf2bc00225ff83badd6,TRABVIZ128F42BA066,2
8279,9b306a242b0c4f5c5a75950e48fc64e0be90f078,TRBASRX12903C9FDA8,1
8376,8a82dac5f6b468ea752b967406b50952c7f42884,TRARTEH128F423DBC1,1
8498,dcd748b9d769924c7f15f14b5f17392991cb8a3a,TRAAKDG128F42A0ECB,1
8549,629cada9fa3d808d334aeae033a2606d5c4e865d,TRBDSWA128F92FE70A,1
8719,1b17e1cc16d9d79f6f13988197c1569181cae9d9,TRBASRX12903C9FDA8,6
8732,83ed44a4e5fe44c59d128afd40ea1a60ce651706,TRANKYM128F428B7A4,1
8831,49a3d7b431d9df7eb95bad8b55bad6f798707983,TRBGCAK128F425F3CC,1
8867,94024e65cc32f00d688dba893832ed198e28994d,TRARPCK128F92FEA7F,2
8981,379d3c127c765a4cfec71bc85076be5991c9afa6,TRBFYJE128F14A8ABF,1
9135,75377bdec7fa8b21db188346fbf8005b41bf7e7b,TRAWBHE12903CBC4CB,2
9156,71ac23e5e6dad2cedf2b13f99baa93f816c86b0c,TRAEUIW12903D018F0,5
9200,a02364f7e71d9ceb8c7b1e1e02d4761588512c67,TRAWBHE12903CBC4CB,1
9243,e1d2dc110ead0387757c3b96d7eff390b5e8a5d3,TRBBQGV12903CB5CD3,1
9279,2cf72e3421197d0df30ce4b1d526cc9aae2105db,TRAWCIC128F92FE36A,24
9328,5c747a4ad470b37ddb885eb2b37d17519344484c,TRAEUIW12903D018F0,2
9360,6fc84b7c350286a8c41347a067875d73cdc99fab,TRASDOI128F1480E28,1
9395,4d0dd74239b37f525181b1fde77721ccf409cb60,TRAPTOE128F4272000,1
9467,fed9c37b36b7f3dd236ba9e3288a94782f9a06bd,TRAWBHE12903CBC4CB,1
9535,a057c67718333ba5bff8464be7c5ae2289d6ce9c,TRBDOVF128E0795641,2
9560,697ed2a5c5d436531197b41b11c51400e79b9c85,TRATTGW128F427A82D,1
9570,30cc99a1b03a19cc162b286c76047e58371ffb3d,TRAUTTP128F425BDEB,5
9584,0bc17eba85def2f8f4cef2b06f88e540628c5ad9,TRAPTOE128F4272000,1
9644,b8af7c50f4386e02de0464f4c90d4bcaac0632c1,TRAKQXJ128F147A028,1
9930,87f709e207c5dad99147e3ab2f2030ea073b78aa,TRALROP128F92CA9CC,3
9953,2c22dac279f64baf57cdc0fcd78e34e133fb6ae1,TRAWBHE12903CBC4CB,4
10087,99f2f82237000cbd39f30902413fb743f0880593,TRAVBSQ128EF344B3C,3
10179,b9b9395f8b925b7cb5da635b0165035086f51c11,TRAFKRE128F932002B,1
10264,779522b443e15db3021c46f5f886cd8c7d0c8426,TRBIBLJ12903CCF436,2
10340,1407ef3d8da973596eeefd0cabfa2e67b332085a,TRBGELF128E07915B8,1
10366,cd6a06dad529fee9b2ed605865d9cd3024fac975,TRASRXK128F9311176,1
10399,e6eb35eb75b456399b7cb1cfa79ae0fe00140c38,TRAZCMR128F1462B51,17
10412,abf4cf3b2d158531ee35af8214f7a9c5a48f6cf9,TRAURYF128F147805D,1
10421,32d75401f16dbdda8aee706f7215dff807631a55,TRAEUIW12903D018F0,1
10445,9a0361fad14a59a19dc966377fcc7b4888e3f5f1,TRAYUXO12903C99CBF,1
10529,17b5173d1951e2ea8d347b7cfd094d9292fb8025,TRAXBLJ128F92EEBB1,2
10623,68495a9d17e87d41bef39154547cfeed834e1ea3,TRAADVH128EF34DE7A,1
10665,d49a550931982a4ec1c5e5287c8176d9363bb288,TRAFJIW128E078E1DE,1
10694,f3b99fd98b31c7aecf696898a32f9efe02adb04b,TRBCANP128F92FA6B9,1
10769,b145758df362c367471c92e5b0a43d6acef60c12,TRAWBHE12903CBC4CB,3
10831,9a3c6d3db9c50f2db03a0e5a6c1cd8eb616937e7,TRARPCK128F92FEA7F,5
10875,5af235dab59ba184813a24cc3e0cdb70c4db7728,TRAVHLR128F146B476,5
10948,ca7838174d19502eb7a08c5c086567eae8dcaaf6,TRAWBHE12903CBC4CB,3
